,Hispanic or Latino (of any race) (200-299),White,Black,American,Asian,Some other,Two or more
POP_M_18_24_E1,115,528,544,12,27,0,15
POP_M_18_24_E2,216,4330,5181,21,86,0,41
POP_M_18_24_E3,267,6649,4526,32,168,0,40
POP_M_18_24_E4,318,11624,4506,42,404,13,103
POP_M_18_24_E5,36,389,141,0,43,0,8
POP_M_18_24_E6,59,1635,343,5,128,12,5
POP_M_18_24_E7,10,148,69,6,31,0,5
POP_M_25_34_E1,115,810,557,5,63,0,9
POP_M_25_34_E2,174,3386,4286,25,99,13,45
POP_M_25_34_E3,284,9179,5290,20,104,12,92
POP_M_25_34_E4,253,7251,3633,21,108,16,161
POP_M_25_34_E5,24,910,235,6,37,9,12
POP_M_25_34_E6,222,6970,1385,17,203,9,88
POP_M_25_34_E7,98,2170,344,8,303,0,55
POP_M_35_44_E1,83,1077,925,0,30,0,23
POP_M_35_44_E2,134,3977,5392,15,120,0,15
POP_M_35_44_E3,230,13262,6247,28,69,0,121
POP_M_35_44_E4,132,7153,3223,26,30,0,87
POP_M_35_44_E5,75,1178,277,0,0,9,8
POP_M_35_44_E6,144,6290,987,0,116,16,108
POP_M_35_44_E7,88,2992,500,17,327,0,19
POP_M_45_64_E1,153,1987,2143,24,73,0,43
POP_M_45_64_E2,73,3813,5404,6,79,0,47
POP_M_45_64_E3,222,15270,5710,11,104,0,143
POP_M_45_64_E4,88,12384,3544,49,36,17,109
POP_M_45_64_E5,6,1253,366,10,11,0,17
POP_M_45_64_E6,186,8821,1399,36,153,11,22
POP_M_45_64_E7,137,6402,915,35,318,6,77
POP_M_65_OVER_E1,54,2605,3221,8,32,9,28
POP_M_65_OVER_E2,22,2674,1201,0,27,4,25
POP_M_65_OVER_E3,61,6516,887,7,8,0,35
POP_M_65_OVER_E4,53,3609,535,0,0,0,12
POP_M_65_OVER_E5,0,137,33,0,0,0,0
POP_M_65_OVER_E6,37,2951,213,0,0,0,0
POP_M_65_OVER_E7,46,2039,411,0,32,0,12
POP_F_18_24_E1,41,329,261,14,7,9,9
POP_F_18_24_E2,168,3121,3740,17,56,8,35
POP_F_18_24_E3,182,6108,4509,35,213,15,115
POP_F_18_24_E4,381,12907,6579,31,414,24,214
POP_F_18_24_E5,7,401,249,0,20,0,10
POP_F_18_24_E6,117,2481,810,0,83,0,6
POP_F_18_24_E7,10,193,109,0,9,0,9
POP_F_25_34_E1,64,468,281,32,60,0,10
POP_F_25_34_E2,90,2356,2770,14,51,0,28
POP_F_25_34_E3,164,8623,5059,10,82,11,100
POP_F_25_34_E4,194,7164,5229,28,101,0,81
POP_F_25_34_E5,59,1551,576,0,34,8,47
POP_F_25_34_E6,146,7501,2242,0,199,21,88
POP_F_25_34_E7,127,2447,688,20,214,10,24
POP_F_35_44_E1,54,420,444,10,50,9,10
POP_F_35_44_E2,61,2563,3933,16,63,0,29
POP_F_35_44_E3,193,12882,6456,51,64,0,78
POP_F_35_44_E4,198,8301,5290,42,74,6,81
POP_F_35_44_E5,54,1812,528,12,28,0,18
POP_F_35_44_E6,191,6666,2437,7,182,0,51
POP_F_35_44_E7,62,2483,801,0,159,0,8
POP_F_45_64_E1,84,1268,1480,9,170,0,24
POP_F_45_64_E2,125,4475,5087,6,153,0,55
POP_F_45_64_E3,221,19823,6913,53,120,0,103
POP_F_45_64_E4,244,11781,4124,48,121,16,124
POP_F_45_64_E5,35,1553,328,0,58,0,0
POP_F_45_64_E6,156,7131,2544,23,163,9,47
POP_F_45_64_E7,79,4879,2217,6,131,0,49
POP_F_65_OVER_E1,57,3325,4714,9,76,0,75
POP_F_65_OVER_E2,85,4978,2417,0,8,6,52
POP_F_65_OVER_E3,50,11372,1441,0,20,0,52
POP_F_65_OVER_E4,51,5381,587,0,0,9,51
POP_F_65_OVER_E5,18,498,47,0,0,0,0
POP_F_65_OVER_E6,21,2545,417,5,0,0,6
POP_F_65_OVER_E7,56,1459,660,14,18,0,30
