EDUCATION,TOTALS
POP_M_18_24_E1,1321
POP_M_18_24_E2,8872
POP_M_18_24_E3,13181
POP_M_18_24_E4,20248
POP_M_18_24_E5,1101
POP_M_18_24_E6,3144
POP_M_18_24_E7,203
POP_M_25_34_E1,1489
POP_M_25_34_E2,7149
POP_M_25_34_E3,16053
POP_M_25_34_E4,12505
POP_M_25_34_E5,2947
POP_M_25_34_E6,11445
POP_M_25_34_E7,3305
POP_M_35_44_E1,2360
POP_M_35_44_E2,5627
POP_M_35_44_E3,17641
POP_M_35_44_E4,11937
POP_M_35_44_E5,1904
POP_M_35_44_E6,8572
POP_M_35_44_E7,3844
POP_M_45_64_E1,4971
POP_M_45_64_E2,10939
POP_M_45_64_E3,33457
POP_M_45_64_E4,20816
POP_M_45_64_E5,2709
POP_M_45_64_E6,14250
POP_M_45_64_E7,8329
POP_M_65_OVER_E1,4710
POP_M_65_OVER_E2,3718
POP_M_65_OVER_E3,10874
POP_M_65_OVER_E4,5969
POP_M_65_OVER_E5,547
POP_M_65_OVER_E6,5040
POP_M_65_OVER_E7,4153
POP_F_18_24_E1,703
POP_F_18_24_E2,6386
POP_F_18_24_E3,11481
POP_F_18_24_E4,22938
POP_F_18_24_E5,1221
POP_F_18_24_E6,4371
POP_F_18_24_E7,481
POP_F_25_34_E1,1035
POP_F_25_34_E2,4417
POP_F_25_34_E3,12812
POP_F_25_34_E4,14030
POP_F_25_34_E5,4061
POP_F_25_34_E6,13561
POP_F_25_34_E7,5248
POP_F_35_44_E1,1323
POP_F_35_44_E2,4164
POP_F_35_44_E3,15985
POP_F_35_44_E4,13376
POP_F_35_44_E5,3300
POP_F_35_44_E6,10554
POP_F_35_44_E7,4536
POP_F_45_64_E1,2858
POP_F_45_64_E2,9235
POP_F_45_64_E3,36966
POP_F_45_64_E4,22719
POP_F_45_64_E5,4529
POP_F_45_64_E6,16223
POP_F_45_64_E7,9097
POP_F_65_OVER_E1,5876
POP_F_65_OVER_E2,7025
POP_F_65_OVER_E3,17994
POP_F_65_OVER_E4,7664
POP_F_65_OVER_E5,1146
POP_F_65_OVER_E6,4437
POP_F_65_OVER_E7,3540
