,"American Indian and Alaska Native alone, not Hispanic or Latino","Asian alone, not Hispanic or Latino","Black or African American alone, not Hispanic or Latino",Hispanic or Latino (of any race) (200-299),Some,Two or More,"White alone, not Hispanic or Latino"
POP_M_18_24_E1,17,122,466,2429,169,154,1781
POP_M_18_24_E2,92,1477,3495,5926,568,976,21675
POP_M_18_24_E3,104,2918,4098,6332,655,1588,38421
POP_M_18_24_E4,100,4971,3547,4682,435,1718,51775
POP_M_18_24_E5,7,363,561,338,59,117,4202
POP_M_18_24_E6,35,2778,817,975,65,549,23642
POP_M_18_24_E7,0.01,466,51,93,19,79,1532
POP_M_25_34_E1,17,774,358,4768,267,390,2595
POP_M_25_34_E2,48,1513,2239,5898,546,788,11792
POP_M_25_34_E3,176,2395,5616,7349,958,1809,58158
POP_M_25_34_E4,85,1778,4332,3860,353,1402,42455
POP_M_25_34_E5,20,651,1161,884,101,362,14866
POP_M_25_34_E6,139,7366,2985,2903,332,1548,86514
POP_M_25_34_E7,58,8482,1258,1758,136,853,35707
POP_M_35_44_E1,34,1498,792,4063,338,376,3718
POP_M_35_44_E2,124,1800,2777,4317,540,869,16133
POP_M_35_44_E3,140,2020,5986,5807,665,1988,80500
POP_M_35_44_E4,135,1192,4303,3248,368,1061,54740
POP_M_35_44_E5,49,708,1597,883,49,396,20442
POP_M_35_44_E6,64,3070,2956,1696,261,1088,78557
POP_M_35_44_E7,74,6527,1761,1541,196,688,51567
POP_M_45_64_E1,85,2380,1451,5209,556,709,12552
POP_M_45_64_E2,127,1956,3861,3161,342,835,25819
POP_M_45_64_E3,166,2722,5673,3574,456,1626,95478
POP_M_45_64_E4,192,1453,3334,1757,183,931,71684
POP_M_45_64_E5,71,557,1303,614,31,267,27422
POP_M_45_64_E6,83,2588,2309,1332,87,892,84103
POP_M_45_64_E7,150,4281,2130,1275,165,750,91295
POP_M_65_OVER_E1,61,1629,1517,1739,261,420,17316
POP_M_65_OVER_E2,29,703,1716,418,113,435,31877
POP_M_65_OVER_E3,38,763,1639,502,173,474,61670
POP_M_65_OVER_E4,3,361,787,279,48,215,29307
POP_M_65_OVER_E5,0.01,134,147,47,0.01,64,7223
POP_M_65_OVER_E6,27,645,396,147,9,105,28605
POP_M_65_OVER_E7,29,602,378,181,40,148,26294
POP_F_18_24_E1,28,148,165,1596,156,105,1401
POP_F_18_24_E2,13,1184,2564,5042,555,808,14785
POP_F_18_24_E3,108,3060,3945,5690,951,1484,32475
POP_F_18_24_E4,156,6750,4371,5945,507,2234,59359
POP_F_18_24_E5,26,310,646,585,41,161,6301
POP_F_18_24_E6,49,3511,1290,1453,177,800,30692
POP_F_18_24_E7,0.01,435,100,128,0.01,82,1973
POP_F_25_34_E1,27,1037,441,3210,288,400,2011
POP_F_25_34_E2,62,1550,2312,4668,408,690,8295
POP_F_25_34_E3,174,2513,5359,6787,667,1607,44501
POP_F_25_34_E4,135,1713,5641,4838,502,1565,42179
POP_F_25_34_E5,49,1328,2142,1873,159,728,25362
POP_F_25_34_E6,62,7954,3372,3450,330,1609,95642
POP_F_25_34_E7,34,7182,1517,2082,214,855,41909
POP_F_35_44_E1,7,1890,831,3752,463,463,2920
POP_F_35_44_E2,115,1750,2903,4233,498,895,10951
POP_F_35_44_E3,234,2406,6147,6400,550,1768,67074
POP_F_35_44_E4,193,1516,5304,3790,311,1051,58589
POP_F_35_44_E5,47,1086,2300,1573,119,631,36601
POP_F_35_44_E6,72,3890,3477,2076,274,1020,87758
POP_F_35_44_E7,37,4327,1664,1786,81,520,50237
POP_F_45_64_E1,120,4003,1795,6436,746,971,9566
POP_F_45_64_E2,95,2396,4420,3362,274,930,25973
POP_F_45_64_E3,155,3118,6879,4009,370,1768,118685
POP_F_45_64_E4,131,1448,4618,2100,302,978,82963
POP_F_45_64_E5,134,833,1730,734,104,372,39397
POP_F_45_64_E6,77,2991,2451,1348,145,652,81452
POP_F_45_64_E7,118,2659,2349,1473,45,565,77910
POP_F_65_OVER_E1,65,3081,2641,3112,574,697,27392
POP_F_65_OVER_E2,34,634,2616,747,239,602,46825
POP_F_65_OVER_E3,81,916,3206,901,161,963,131669
POP_F_65_OVER_E4,42,360,1198,264,66,255,45349
POP_F_65_OVER_E5,0.01,167,317,134,15,127,10413
POP_F_65_OVER_E6,45,560,521,119,34,107,26461
POP_F_65_OVER_E7,26,384,426,213,40,71,18852
